Pass Completion ,Successful Cross,Total Saves,Save %,Progr Regain ,Goals - xGA,Progr Pass Completion ,SOT Against,Opp Effort on Goal
80,0.748051948051948,4.134740259740259,70.0,70,-0.0794,80,5.72,13.34
5,1.0661558571279866,3.0874459652156103,7.5,10,0.2558,10,1.47,2.39
