Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U16 MLS Next,Normal,Blocked,17,34,84,28,-,-,03/08/2025,Boston Bolts U16 MLS Next,02:06
Gottschee,Normal,SOT,17,34,19,63,-,-,03/08/2025,Boston Bolts U16 MLS Next,06:55
Boston Bolts U16 MLS Next,Normal,SOT,17,34,98,31,-,-,03/08/2025,Boston Bolts U16 MLS Next,09:26
Boston Bolts U16 MLS Next,Normal,Blocked,17,34,87,62,-,-,03/08/2025,Boston Bolts U16 MLS Next,18:51
Boston Bolts U16 MLS Next,Normal,Blocked,17,34,76,43,-,-,03/08/2025,Boston Bolts U16 MLS Next,28:25
Boston Bolts U16 MLS Next,Normal,Shot,17,34,84,56,-,-,03/08/2025,Boston Bolts U16 MLS Next,28:27
Boston Bolts U16 MLS Next,Normal,SOT,17,34,94,31,-,-,03/08/2025,Boston Bolts U16 MLS Next,36:47
Boston Bolts U16 MLS Next,Normal,SOT,17,34,86,35,-,-,03/08/2025,Boston Bolts U16 MLS Next,41:16
Gottschee,Normal,Blocked,17,34,33,37,-,-,03/08/2025,Boston Bolts U16 MLS Next,44:09
Boston Bolts U16 MLS Next,Volley,Shot,17,34,87,41,-,-,03/08/2025,Boston Bolts U16 MLS Next,44:56
Gottschee,Normal,Blocked,17,34,20,51,-,-,03/08/2025,Boston Bolts U16 MLS Next,45:44
Boston Bolts U16 MLS Next,Normal,SOT,17,34,18,33,-,-,03/08/2025,Boston Bolts U16 MLS Next,49:53
Gottschee,Header,Blocked,17,34,93,50,-,-,03/08/2025,Boston Bolts U16 MLS Next,52:43
Gottschee,First Time,Goal,17,34,92,52,-,-,03/08/2025,Boston Bolts U16 MLS Next,52:45
Boston Bolts U16 MLS Next,Normal,SOT,17,34,17,46,-,-,03/08/2025,Boston Bolts U16 MLS Next,56:14
Gottschee,Normal,SOT,17,34,90,67,-,-,03/08/2025,Boston Bolts U16 MLS Next,56:55
Boston Bolts U16 MLS Next,Normal,Shot,17,34,21,63,-,-,03/08/2025,Boston Bolts U16 MLS Next,61:52
Gottschee,Normal,SOT,17,34,98,34,-,-,03/08/2025,Boston Bolts U16 MLS Next,63:27
Gottschee,Normal,Shot,17,34,96,33,-,-,03/08/2025,Boston Bolts U16 MLS Next,64:37
Boston Bolts U16 MLS Next,First Time,SOT,17,34,8,68,-,-,03/08/2025,Boston Bolts U16 MLS Next,71:53
Boston Bolts U16 MLS Next,Normal,Blocked,17,34,15,64,-,-,03/08/2025,Boston Bolts U16 MLS Next,72:22
Boston Bolts U16 MLS Next,FK,Blocked,17,34,22,65,-,-,03/08/2025,Boston Bolts U16 MLS Next,74:11
Boston Bolts U16 MLS Next,Volley,Blocked,17,34,17,35,-,-,03/08/2025,Boston Bolts U16 MLS Next,74:45
Gottschee,Normal,SOT,17,34,90,53,-,-,03/08/2025,Boston Bolts U16 MLS Next,77:59
Gottschee,Normal,Shot,17,34,73,35,-,-,03/08/2025,Boston Bolts U16 MLS Next,78:53
Boston Bolts U16 MLS Next,FK,Goal,17,34,19,64,-,-,03/08/2025,Boston Bolts U16 MLS Next,81:03
Gottschee,Normal,SOT,17,34,97,60,-,-,03/08/2025,Boston Bolts U16 MLS Next,83:10
Gottschee,Normal,Goal,17,34,96,54,-,-,03/08/2025,Boston Bolts U16 MLS Next,83:13
Gottschee,Normal,SOT,17,34,77,47,-,-,03/08/2025,Boston Bolts U16 MLS Next,86:18
Boston Bolts U16 MLS Next,First Time,SOT,17,34,3,62,-,-,03/08/2025,Boston Bolts U16 MLS Next,87:11
Boston Bolts U16 MLS Next,Normal,Shot,17,34,22,64,-,-,03/08/2025,Boston Bolts U16 MLS Next,87:20
Boston Bolts U16 MLS Next,Normal,SOT,17,34,12,56,-,-,03/08/2025,Boston Bolts U16 MLS Next,89:59
Boston Bolts U16 MLS Next,First Time,Goal,17,34,2,48,-,-,03/08/2025,Boston Bolts U16 MLS Next,90:02
Boston Bolts U16 MLS Next,Normal,SOT,17,34,27,50,-,-,03/08/2025,Boston Bolts U16 MLS Next,92:51
