Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Bolts Team,Match Date,Time
Seacoast,1 on 1,SOT,0,0,22,60,-,-,Boston Bolts U15 MLS Next,3/8/2025,02:08
Boston Bolts U15 MLS Next,1 on 1,SOT,0,0,87,61,-,-,Boston Bolts U15 MLS Next,3/8/2025,05:43
Boston Bolts U15 MLS Next,First Time,Goal,0,0,94,38,-,-,Boston Bolts U15 MLS Next,3/8/2025,05:46
Seacoast,First Time,Shot,0,0,6,51,-,-,Boston Bolts U15 MLS Next,3/8/2025,07:42
Boston Bolts U15 MLS Next,First Time,Blocked,0,0,88,43,-,-,Boston Bolts U15 MLS Next,3/8/2025,10:17
Boston Bolts U15 MLS Next,Header,SOT,0,0,92,45,-,-,Boston Bolts U15 MLS Next,3/8/2025,10:35
Boston Bolts U15 MLS Next,Normal,Shot,0,0,77,26,-,-,Boston Bolts U15 MLS Next,3/8/2025,15:26
Boston Bolts U15 MLS Next,Volley,Blocked,0,0,88,55,-,-,Boston Bolts U15 MLS Next,3/8/2025,19:04
Boston Bolts U15 MLS Next,Normal,Blocked,0,0,80,54,-,-,Boston Bolts U15 MLS Next,3/8/2025,20:16
Boston Bolts U15 MLS Next,Normal,Shot,0,0,76,68,-,-,Boston Bolts U15 MLS Next,3/8/2025,21:21
Boston Bolts U15 MLS Next,First Time,SOT,0,0,78,28,-,-,Boston Bolts U15 MLS Next,3/8/2025,23:30
Boston Bolts U15 MLS Next,Volley,Shot,0,0,90,38,-,-,Boston Bolts U15 MLS Next,3/8/2025,24:46
Boston Bolts U15 MLS Next,Normal,Shot,0,0,75,67,-,-,Boston Bolts U15 MLS Next,3/8/2025,27:16
Seacoast,First Time,SOT,0,0,11,52,-,-,Boston Bolts U15 MLS Next,3/8/2025,28:12
Seacoast,Volley,Blocked,0,0,19,54,-,-,Boston Bolts U15 MLS Next,3/8/2025,30:51
Seacoast,Volley,Shot,0,0,12,39,-,-,Boston Bolts U15 MLS Next,3/8/2025,35:34
Seacoast,Header,Shot,0,0,5,45,-,-,Boston Bolts U15 MLS Next,3/8/2025,36:59
Seacoast,Normal,Shot,0,0,74,60,-,-,Boston Bolts U15 MLS Next,3/8/2025,41:07
Boston Bolts U15 MLS Next,Normal,Shot,0,0,20,53,-,-,Boston Bolts U15 MLS Next,3/8/2025,41:30
Boston Bolts U15 MLS Next,Normal,SOT,0,0,11,65,-,-,Boston Bolts U15 MLS Next,3/8/2025,45:34
Boston Bolts U15 MLS Next,First Time,Goal,0,0,7,49,-,-,Boston Bolts U15 MLS Next,3/8/2025,46:33
Seacoast,Volley,Shot,0,0,93,67,-,-,Boston Bolts U15 MLS Next,3/8/2025,52:17
Boston Bolts U15 MLS Next,Normal,Blocked,0,0,28,46,-,-,Boston Bolts U15 MLS Next,3/8/2025,56:32
Boston Bolts U15 MLS Next,Normal,SOT,0,0,23,45,-,-,Boston Bolts U15 MLS Next,3/8/2025,56:49
Boston Bolts U15 MLS Next,Normal,SOT,0,0,20,53,-,-,Boston Bolts U15 MLS Next,3/8/2025,58:44
Seacoast,Normal,Shot,0,0,71,45,-,-,Boston Bolts U15 MLS Next,3/8/2025,59:09
Boston Bolts U15 MLS Next,1 on 1,Goal,0,0,14,53,-,-,Boston Bolts U15 MLS Next,3/8/2025,61:58
Seacoast,1 on 1,SOT,0,0,89,52,-,-,Boston Bolts U15 MLS Next,3/8/2025,70:18
Seacoast,Penalty,Goal,0,0,89,49,-,-,Boston Bolts U15 MLS Next,3/8/2025,73:50
Boston Bolts U15 MLS Next,Normal,Shot,0,0,24,76,-,-,Boston Bolts U15 MLS Next,3/8/2025,75:11
Boston Bolts U15 MLS Next,FK,SOT,0,0,23,78,-,-,Boston Bolts U15 MLS Next,3/8/2025,80:46
Boston Bolts U15 MLS Next,Normal,SOT,0,0,2,37,-,-,Boston Bolts U15 MLS Next,3/8/2025,82:52
Boston Bolts U15 MLS Next,Volley,Shot,0,0,5,30,-,-,Boston Bolts U15 MLS Next,3/8/2025,82:58
Boston Bolts U15 MLS Next,1 on 1,Goal,0,0,2,52,-,-,Boston Bolts U15 MLS Next,3/8/2025,82:59
