Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Miami,1 on 1,SOT,0,15,87,59,-,-
Miami,Normal,Goal,0,15,97,41,-,-
Miami,Header,SOT,0,15,91,44,-,-
Boston Bolts U16,Normal,Blocked,0,15,6,30,-,-
Miami,Normal,Blocked,0,15,82,24,-,-
Miami,Normal,Goal,0,15,96,33,-,-
Boston Bolts U16,First Time,Blocked,0,15,13,39,-,-
Boston Bolts U16,Normal,Shot,0,15,21,26,-,-
Boston Bolts U16,Volley,SOT,0,15,13,58,-,-
Miami,Normal,SOT,0,15,73,48,-,-
Miami,Normal,SOT,0,15,13,65,-,-
Miami,Header,SOT,0,15,12,40,-,-
Boston Bolts U16,Volley,Shot,0,15,67,48,-,-
Boston Bolts U16,First Time,Shot,0,15,87,34,-,-
Boston Bolts U16,Normal,Shot,0,15,94,42,-,-
Boston Bolts U16,First Time,Blocked,0,15,96,47,-,-
Miami,FK,Goal,0,15,23,58,-,-
