Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Boston Bolts U16,Normal,SOT,0,12,24,28,-,-
Boston Bolts U16,Normal,Blocked,0,12,5,64,-,-
Boston Bolts U16,Volley,Shot,0,12,19,59,-,-
Boston Bolts U16,Normal,Blocked,0,12,19,61,-,-
Boston Bolts U16,Header,SOT,0,12,7,51,-,-
Albion,Normal,SOT,0,12,82,65,-,-
Boston Bolts U16,Normal,Goal,0,12,89,34,-,-
Boston Bolts U16,Normal,Blocked,0,12,84,54,-,-
Boston Bolts U16,1 on 1,SOT,0,12,92,36,-,-
Boston Bolts U16,Normal,Shot,0,12,83,68,-,-
Boston Bolts U16,Normal,SOT,0,12,85,47,-,-
Albion,1 on 1,SOT,0,12,24,59,-,-
Boston Bolts U16,1 on 1,Goal,0,12,89,45,-,-
Boston Bolts U16,Normal,SOT,0,12,79,57,-,-
Albion,Volley,Blocked,0,12,10,33,-,-
Boston Bolts U16,Normal,Blocked,0,12,88,65,-,-
Albion,Header,SOT,0,12,8,41,-,-
Boston Bolts U16,Normal,SOT,0,12,91,69,-,-
Boston Bolts U16,Normal,SOT,0,12,93,69,-,-
