Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U17 MLS Next,Normal,Goal,17,34,5,64,-,-,03/09/2025,Boston Bolts U17 MLS Next,01:06
Gottschee,FK,SOT,17,34,83,29,-,-,03/09/2025,Boston Bolts U17 MLS Next,27:35
Boston Bolts U17 MLS Next,First Time,Goal,17,34,6,50,-,-,03/09/2025,Boston Bolts U17 MLS Next,35:27
Gottschee,Normal,Blocked,17,34,87,50,-,-,03/09/2025,Boston Bolts U17 MLS Next,42:55
Gottschee,1 on 1,Goal Inside Post,17,34,13,55,-,-,03/09/2025,Boston Bolts U17 MLS Next,51:39
Gottschee,Volley,SOT,17,34,3,38,-,-,03/09/2025,Boston Bolts U17 MLS Next,56:31
Gottschee,1 on 1,Blocked,17,34,10,63,-,-,03/09/2025,Boston Bolts U17 MLS Next,57:30
Gottschee,Normal,Blocked,17,34,21,68,-,-,03/09/2025,Boston Bolts U17 MLS Next,74:14
Gottschee,First Time,SOT,17,34,16,32,-,-,03/09/2025,Boston Bolts U17 MLS Next,74:58
Boston Bolts U17 MLS Next,Normal,Blocked,17,34,87,41,-,-,03/09/2025,Boston Bolts U17 MLS Next,75:50
Boston Bolts U17 MLS Next,Normal,SOT,17,34,84,29,-,-,03/09/2025,Boston Bolts U17 MLS Next,79:37
Boston Bolts U17 MLS Next,Normal,Goal,17,34,98,2,-,-,03/09/2025,Boston Bolts U17 MLS Next,80:48
Gottschee,Volley,Blocked,17,34,14,57,-,-,03/09/2025,Boston Bolts U17 MLS Next,84:35
Boston Bolts U17 MLS Next,Normal,Blocked,17,34,89,68,-,-,03/09/2025,Boston Bolts U17 MLS Next,88:37
Boston Bolts U17 MLS Next,Volley,Goal,17,34,94,53,-,-,03/09/2025,Boston Bolts U17 MLS Next,89:56
