Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Seacoast,First Time,SOT Inside Post,42,18,28,49,-,-,11/17/2024,Boston Bolts U14 MLS Next,11:15
Seacoast,Normal,SOT,42,24,22,34,-,-,11/17/2024,Boston Bolts U14 MLS Next,11:34
Seacoast,Normal,Blocked,42,31,25,36,-,-,11/17/2024,Boston Bolts U14 MLS Next,12:55
Seacoast,First Time,Blocked,42,38,10,40,-,-,11/17/2024,Boston Bolts U14 MLS Next,12:59
Seacoast,First Time,SOT,42,44,20,53,-,-,11/17/2024,Boston Bolts U14 MLS Next,22:11
Boston Bolts U14 MLS Next,Normal,Blocked,42,51,78,65,-,-,11/17/2024,Boston Bolts U14 MLS Next,23:28
Boston Bolts U14 MLS Next,Normal,SOT,42,59,79,32,-,-,11/17/2024,Boston Bolts U14 MLS Next,25:47
Seacoast,First Time,SOT,43,8,22,40,-,-,11/17/2024,Boston Bolts U14 MLS Next,27:36
Boston Bolts U14 MLS Next,Header,Shot,43,23,92,53,-,-,11/17/2024,Boston Bolts U14 MLS Next,31:44
Boston Bolts U14 MLS Next,Volley,Blocked,43,37,83,40,-,-,11/17/2024,Boston Bolts U14 MLS Next,36:28
Seacoast,Normal,Blocked,43,45,8,66,-,-,11/17/2024,Boston Bolts U14 MLS Next,37:35
Seacoast,Volley,SOT,43,52,18,27,-,-,11/17/2024,Boston Bolts U14 MLS Next,38:29
Boston Bolts U14 MLS Next,Normal,Blocked,43,59,20,54,-,-,11/17/2024,Boston Bolts U14 MLS Next,41:19
Boston Bolts U14 MLS Next,Volley,SOT,44,6,3,59,-,-,11/17/2024,Boston Bolts U14 MLS Next,41:49
Seacoast,Normal,Shot,44,16,82,70,-,-,11/17/2024,Boston Bolts U14 MLS Next,42:31
Boston Bolts U14 MLS Next,First Time,Blocked,44,32,19,38,-,-,11/17/2024,Boston Bolts U14 MLS Next,44:44
Boston Bolts U14 MLS Next,Normal,SOT,44,39,10,67,-,-,11/17/2024,Boston Bolts U14 MLS Next,45:41
Seacoast,Header,Shot,44,48,97,45,-,-,11/17/2024,Boston Bolts U14 MLS Next,51:17
Boston Bolts U14 MLS Next,First Time,SOT,44,55,6,36,-,-,11/17/2024,Boston Bolts U14 MLS Next,52:46
Boston Bolts U14 MLS Next,Normal,Shot,45,2,5,69,-,-,11/17/2024,Boston Bolts U14 MLS Next,57:47
Boston Bolts U14 MLS Next,Normal,Blocked,45,10,14,32,-,-,11/17/2024,Boston Bolts U14 MLS Next,60:26
Boston Bolts U14 MLS Next,First Time,SOT,45,17,16,40,-,-,11/17/2024,Boston Bolts U14 MLS Next,60:29
Boston Bolts U14 MLS Next,Normal,SOT,45,24,26,65,-,-,11/17/2024,Boston Bolts U14 MLS Next,61:30
Seacoast,Normal,SOT,45,56,77,33,-,-,11/17/2024,Boston Bolts U14 MLS Next,67:34
Boston Bolts U14 MLS Next,First Time,SOT,46,5,13,30,-,-,11/17/2024,Boston Bolts U14 MLS Next,70:21
Boston Bolts U14 MLS Next,Normal,Blocked,46,12,13,39,-,-,11/17/2024,Boston Bolts U14 MLS Next,75:24
Boston Bolts U14 MLS Next,First Time,Shot,46,17,23,41,-,-,11/17/2024,Boston Bolts U14 MLS Next,75:26
Boston Bolts U14 MLS Next,Normal,SOT,46,23,20,45,-,-,11/17/2024,Boston Bolts U14 MLS Next,77:04
Boston Bolts U14 MLS Next,Normal,Blocked,46,30,17,32,-,-,11/17/2024,Boston Bolts U14 MLS Next,81:07
Boston Bolts U14 MLS Next,Volley,Shot,46,39,24,62,-,-,11/17/2024,Boston Bolts U14 MLS Next,81:11
