Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Boston Bolts U14 MLS Next,Normal,Shot,0,0,77,19,-,-
Boston Bolts U14 MLS Next,Normal,SOT,0,0,96,66,-,-
Boston Bolts U14 MLS Next,FK,Blocked,0,0,78,40,-,-
Boston Bolts U14 MLS Next,Normal,SOT,0,0,94,60,-,-
Boston Bolts U14 MLS Next,Normal,Shot,0,0,95,62,-,-
Seacoast,Normal,Shot,0,0,16,31,,
Seacoast,First Time,Shot,0,0,22,63,-,-
Boston Bolts U14 MLS Next,Normal,SOT,0,0,81,69,-,-
Boston Bolts U14 MLS Next,First Time,Shot,0,0,72,40,,
Boston Bolts U14 MLS Next,First Time,Goal,0,0,92,54,,
Seacoast,Normal,Shot,0,0,23,55,,
Boston Bolts U14 MLS Next,First Time,Blocked,0,0,91,43,,
Boston Bolts U14 MLS Next,FK,Shot,0,0,71,58,-,-
Boston Bolts U14 MLS Next,First Time,Shot,0,0,22,19,,
Seacoast,First Time,Shot,0,0,89,64,-,-
Boston Bolts U14 MLS Next,Header,Shot,0,0,6,42,-,-
Seacoast,Header,Goal,0,0,93,46,-,-
Boston Bolts U14 MLS Next,First Time,Blocked,0,0,12,61,,
Boston Bolts U14 MLS Next,First Time,Blocked,0,0,17,40,,
Seacoast,Volley,Shot,0,0,82,40,-,-
Boston Bolts U14 MLS Next,Header,SOT,0,0,5,45,-,-
Seacoast,First Time,Blocked,0,0,96,36,-,-
Seacoast,Volley,Blocked,0,0,84,50,-,-
Boston Bolts U14 MLS Next,First Time,Blocked,0,0,18,31,,
Boston Bolts U14 MLS Next,Normal,SOT,0,0,16,37,-,-
Boston Bolts U14 MLS Next,Volley,Shot,0,0,6,58,-,-
Boston Bolts U14 MLS Next,First Time,SOT,0,0,19,41,,
Boston Bolts U14 MLS Next,Normal,Blocked,0,0,5,43,-,-
Boston Bolts U14 MLS Next,First Time,SOT,0,0,25,41,,
Seacoast,Header,Goal,0,0,96,59,-,-
Boston Bolts U14 MLS Next,Normal,SOT,0,0,24,38,-,-
Boston Bolts U14 MLS Next,Normal,Shot,0,0,7,42,-,-
Seacoast,Normal,Blocked,0,0,66,38,,
Seacoast,Normal,SOT,0,0,82,29,,
Boston Bolts U14 MLS Next,Normal,Shot,0,0,20,60,-,-
Boston Bolts U14 MLS Next,Normal,Shot,0,0,16,56,-,-
Seacoast,Normal,Blocked,0,0,83,58,,
Boston Bolts U14 MLS Next,Normal,SOT,0,0,16,68,-,-
Boston Bolts U14 MLS Next,Volley,Shot,0,0,23,32,-,-
