Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
New York City FC,Volley,SOT,2,34,19,36,-,-,10/19/2024,Boston Bolts U13 MLS Next,09:12
Boston Bolts U13 MLS Next,Normal,SOT,2,34,76,47,-,-,10/19/2024,Boston Bolts U13 MLS Next,18:48
New York City FC,Normal,SOT,2,34,20,39,-,-,10/19/2024,Boston Bolts U13 MLS Next,24:31
New York City FC,Header,SOT Inside Post,2,34,8,47,-,-,10/19/2024,Boston Bolts U13 MLS Next,32:09
New York City FC,Normal,SOT,2,34,2,67,-,-,10/19/2024,Boston Bolts U13 MLS Next,33:29
New York City FC,FK,Shot,2,34,18,70,-,-,10/19/2024,Boston Bolts U13 MLS Next,34:54
New York City FC,Normal,SOT,2,34,76,29,-,-,10/19/2024,Boston Bolts U13 MLS Next,38:20
New York City FC,Normal,Shot,2,34,71,53,-,-,10/19/2024,Boston Bolts U13 MLS Next,38:36
New York City FC,Normal,Blocked,2,34,86,50,-,-,10/19/2024,Boston Bolts U13 MLS Next,41:56
Boston Bolts U13 MLS Next,First Time,SOT,2,34,16,56,-,-,10/19/2024,Boston Bolts U13 MLS Next,43:55
Boston Bolts U13 MLS Next,Normal,Shot,2,34,97,32,-,-,10/19/2024,Boston Bolts U13 MLS Next,50:16
Boston Bolts U13 MLS Next,Volley,SOT,2,34,79,45,-,-,10/19/2024,Boston Bolts U13 MLS Next,55:00
New York City FC,Normal,Blocked,2,34,79,69,-,-,10/19/2024,Boston Bolts U13 MLS Next,60:23
New York City FC,First Time,Shot,2,34,81,51,-,-,10/19/2024,Boston Bolts U13 MLS Next,65:13
New York City FC,First Time,Goal Inside Post,2,34,96,60,-,-,10/19/2024,Boston Bolts U13 MLS Next,65:34
New York City FC,First Time,Goal,2,34,94,50,-,-,10/19/2024,Boston Bolts U13 MLS Next,68:28
