Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Gottschee,FK,SOT,0,0,34,27,-,-,03/09/2025,Boston Bolts U13 MLS Next,05:04
Gottschee,Normal,Blocked,0,0,21,34,-,-,03/09/2025,Boston Bolts U13 MLS Next,06:51
Gottschee,Normal,Shot,0,0,34,10,-,-,03/09/2025,Boston Bolts U13 MLS Next,09:00
Gottschee,Volley,Blocked,0,0,17,34,-,-,03/09/2025,Boston Bolts U13 MLS Next,09:01
Boston Bolts U13 MLS Next,Normal,Shot,0,0,74,69,-,-,03/09/2025,Boston Bolts U13 MLS Next,11:13
Gottschee,Normal,Shot,0,0,26,68,-,-,03/09/2025,Boston Bolts U13 MLS Next,12:33
Gottschee,Volley,Blocked,0,0,8,59,-,-,03/09/2025,Boston Bolts U13 MLS Next,15:39
Gottschee,Normal,SOT,0,0,24,17,-,-,03/09/2025,Boston Bolts U13 MLS Next,17:34
Gottschee,Volley,Shot,0,0,22,31,-,-,03/09/2025,Boston Bolts U13 MLS Next,26:09
Gottschee,Normal,Goal,0,0,14,36,-,-,03/09/2025,Boston Bolts U13 MLS Next,26:41
Boston Bolts U13 MLS Next,Normal,Shot,0,0,92,59,-,-,03/09/2025,Boston Bolts U13 MLS Next,30:49
Gottschee,First Time,Shot,0,0,75,57,-,-,03/09/2025,Boston Bolts U13 MLS Next,36:15
Boston Bolts U13 MLS Next,Normal,Blocked,0,0,19,36,-,-,03/09/2025,Boston Bolts U13 MLS Next,38:45
Gottschee,Normal,Shot,0,0,93,58,-,-,03/09/2025,Boston Bolts U13 MLS Next,39:15
Boston Bolts U13 MLS Next,Volley,Shot,0,0,8,43,-,-,03/09/2025,Boston Bolts U13 MLS Next,39:52
Gottschee,FK,Shot,0,0,76,30,-,-,03/09/2025,Boston Bolts U13 MLS Next,39:55
Gottschee,Normal,Shot,0,0,88,68,-,-,03/09/2025,Boston Bolts U13 MLS Next,41:24
Boston Bolts U13 MLS Next,Normal,Shot,0,0,20,28,-,-,03/09/2025,Boston Bolts U13 MLS Next,44:46
Gottschee,Volley,Shot,0,0,93,60,-,-,03/09/2025,Boston Bolts U13 MLS Next,45:59
Gottschee,First Time,Goal,0,0,88,59,-,-,03/09/2025,Boston Bolts U13 MLS Next,47:28
Gottschee,FK,Blocked,0,0,73,38,-,-,03/09/2025,Boston Bolts U13 MLS Next,53:03
Gottschee,Volley,SOT,0,0,82,46,-,-,03/09/2025,Boston Bolts U13 MLS Next,55:03
Gottschee,Normal,Shot,0,0,76,33,-,-,03/09/2025,Boston Bolts U13 MLS Next,55:46
Gottschee,Penalty,Goal,0,0,89,50,-,-,03/09/2025,Boston Bolts U13 MLS Next,55:46
Gottschee,Header,SOT,0,0,91,41,-,-,03/09/2025,Boston Bolts U13 MLS Next,61:59
Gottschee,Normal,Goal,0,0,85,51,-,-,03/09/2025,Boston Bolts U13 MLS Next,63:09
Gottschee,First Time,SOT,0,0,85,68,-,-,03/09/2025,Boston Bolts U13 MLS Next,67:20
Gottschee,Normal,Goal,0,0,94,56,-,-,03/09/2025,Boston Bolts U13 MLS Next,72:10
