Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U19 MLS Next,Normal,SOT,17,34,90,80,-,-,3/9/2025,Boston Bolts U19 MLS Next,00:27
Gottschee,1 on 1,Shot,17,34,9,67,-,-,3/9/2025,Boston Bolts U19 MLS Next,02:16
Gottschee,Normal,Goal Inside Post,17,34,8,42,-,-,3/9/2025,Boston Bolts U19 MLS Next,03:47
Boston Bolts U19 MLS Next,First Time,SOT,17,34,85,69,-,-,3/9/2025,Boston Bolts U19 MLS Next,04:37
Boston Bolts U19 MLS Next,1 on 1,Shot,17,34,90,62,-,-,3/9/2025,Boston Bolts U19 MLS Next,09:15
Boston Bolts U19 MLS Next,Normal,Shot,17,34,90,28,-,-,3/9/2025,Boston Bolts U19 MLS Next,12:22
Gottschee,Volley,Shot,17,34,19,60,-,-,3/9/2025,Boston Bolts U19 MLS Next,13:40
Boston Bolts U19 MLS Next,Normal,Shot,17,34,83,36,-,-,3/9/2025,Boston Bolts U19 MLS Next,20:27
Gottschee,Normal,Shot,17,34,29,32,-,-,3/9/2025,Boston Bolts U19 MLS Next,21:49
Boston Bolts U19 MLS Next,Normal,Shot,17,34,69,51,-,-,3/9/2025,Boston Bolts U19 MLS Next,27:35
Boston Bolts U19 MLS Next,FK,Blocked,17,34,73,43,-,-,3/9/2025,Boston Bolts U19 MLS Next,46:40
Boston Bolts U19 MLS Next,First Time,Blocked,17,34,71,41,-,-,3/9/2025,Boston Bolts U19 MLS Next,49:00
Gottschee,Normal,SOT,17,34,87,57,-,-,3/9/2025,Boston Bolts U19 MLS Next,46:14
Boston Bolts U19 MLS Next,Normal,SOT,17,34,22,65,-,-,3/9/2025,Boston Bolts U19 MLS Next,48:53
Gottschee,FK,Shot,17,34,82,65,-,-,3/9/2025,Boston Bolts U19 MLS Next,51:50
Gottschee,Volley,Goal Inside Post,17,34,93,46,-,-,3/9/2025,Boston Bolts U19 MLS Next,57:41
Boston Bolts U19 MLS Next,Header,Shot,17,34,6,50,-,-,3/9/2025,Boston Bolts U19 MLS Next,60:16
Boston Bolts U19 MLS Next,Normal,Shot,17,34,19,59,-,-,3/9/2025,Boston Bolts U19 MLS Next,64:28
Gottschee,Normal,SOT Far Post,17,34,79,69,-,-,3/9/2025,Boston Bolts U19 MLS Next,66:51
Gottschee,Normal,SOT,17,34,94,59,-,-,3/9/2025,Boston Bolts U19 MLS Next,68:28
Gottschee,Normal,Blocked,17,34,85,28,-,-,3/9/2025,Boston Bolts U19 MLS Next,77:09
Gottschee,Normal,Shot,17,34,84,44,-,-,3/9/2025,Boston Bolts U19 MLS Next,77:17
Boston Bolts U19 MLS Next,Header,SOT,17,34,12,39,-,-,3/9/2025,Boston Bolts U19 MLS Next,78:37
Boston Bolts U19 MLS Next,Volley,Blocked,17,34,7,38,-,-,3/9/2025,Boston Bolts U19 MLS Next,81:17
Boston Bolts U19 MLS Next,Volley,Goal,17,34,19,54,-,-,3/9/2025,Boston Bolts U19 MLS Next,82:06
Boston Bolts U19 MLS Next,Normal,Shot,17,34,27,65,-,-,3/9/2025,Boston Bolts U19 MLS Next,84:53
Gottschee,Normal,SOT,17,34,79,31,-,-,3/9/2025,Boston Bolts U19 MLS Next,85:56
Boston Bolts U19 MLS Next,Header,Blocked,17,34,9,62,-,-,3/9/2025,Boston Bolts U19 MLS Next,88:40
Gottschee,Volley,Shot,17,34,82,41,-,-,3/9/2025,Boston Bolts U19 MLS Next,89:38
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
