Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Gottschee,1 on 1,SOT,0,1,20,33,-,-,03/09/2025,Boston Bolts U15 MLS Next,09:18
Gottschee,FK,Goal Inside Post,0,1,19,38,-,-,03/09/2025,Boston Bolts U15 MLS Next,10:26
Gottschee,1 on 1,SOT,0,1,7,43,-,-,03/09/2025,Boston Bolts U15 MLS Next,12:32
Gottschee,Normal,Shot,0,1,20,71,-,-,03/09/2025,Boston Bolts U15 MLS Next,12:38
Gottschee,Volley,Shot,0,1,18,31,-,-,03/09/2025,Boston Bolts U15 MLS Next,22:20
Gottschee,Normal,Goal,0,1,6,54,-,-,03/09/2025,Boston Bolts U15 MLS Next,23:40
Gottschee,Normal,SOT Inside Post,0,1,15,28,-,-,03/09/2025,Boston Bolts U15 MLS Next,32:39
Gottschee,First Time,SOT Far Post,0,1,22,59,-,-,03/09/2025,Boston Bolts U15 MLS Next,35:11
Gottschee,Normal,Shot,0,1,12,66,-,-,03/09/2025,Boston Bolts U15 MLS Next,35:42
Gottschee,Normal,Blocked,0,1,7,43,-,-,03/09/2025,Boston Bolts U15 MLS Next,37:52
Gottschee,Normal,SOT,0,1,18,60,-,-,03/09/2025,Boston Bolts U15 MLS Next,39:14
Gottschee,First Time,Blocked,0,1,82,40,-,-,03/09/2025,Boston Bolts U15 MLS Next,45:09
Boston Bolts U15 MLS Next,Normal,Blocked,0,1,24,69,-,-,03/09/2025,Boston Bolts U15 MLS Next,45:11
Boston Bolts U15 MLS Next,1 on 1,Shot,0,1,12,51,-,-,03/09/2025,Boston Bolts U15 MLS Next,65:29
Boston Bolts U15 MLS Next,FK,SOT,0,1,24,60,-,-,03/09/2025,Boston Bolts U15 MLS Next,65:50
Boston Bolts U15 MLS Next,Normal,Goal,0,1,8,62,-,-,03/09/2025,Boston Bolts U15 MLS Next,69:12
Boston Bolts U15 MLS Next,First Time,Shot,0,1,24,64,-,-,03/09/2025,Boston Bolts U15 MLS Next,69:32
