Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Boston Bolts U16,Normal,SOT,0,15,79,31,-,-
Boston Bolts U16,Volley,Blocked,0,15,77,45,-,-
St Louis,Volley,SOT,0,15,12,32,-,-
Boston Bolts U16,Normal,Blocked,0,15,93,65,-,-
St Louis,Normal,Goal,0,15,13,36,-,-
Boston Bolts U16,Normal,Blocked,0,15,77,42,-,-
Boston Bolts U16,Header,Blocked,0,15,98,59,-,-
Boston Bolts U16,Normal,SOT,0,15,79,51,-,-
Boston Bolts U16,First Time,Blocked,0,15,6,49,-,-
Boston Bolts U16,First Time,Blocked,0,15,6,44,-,-
Boston Bolts U16,Normal,Shot,0,15,9,69,-,-
Boston Bolts U16,Normal,Shot,0,15,22,37,-,-
Boston Bolts U16,Normal,Goal,0,15,13,58,-,-
Boston Bolts U16,Normal,SOT,0,15,8,32,-,-
Boston Bolts U16,First Time,Goal,0,15,15,40,-,-
St Louis,Normal,SOT,0,15,82,65,-,-
St Louis,Header,Goal,0,15,92,48,-,-
St Louis,Normal,SOT,0,15,88,72,-,-
Boston Bolts U16,Volley,Shot,0,15,6,45,-,-
Boston Bolts U16,First Time,Shot,0,15,11,39,-,-
