Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Seacoast,First Time,SOT,7,14,92,36,-,-,03/10/2025,Boston Bolts U13 MLS Next,02:10
Boston Bolts U13 MLS Next,First Time,Shot,7,47,16,54,-,-,03/10/2025,Boston Bolts U13 MLS Next,02:59
Seacoast,First Time,Blocked,8,9,92,41,-,-,03/10/2025,Boston Bolts U13 MLS Next,04:24
Seacoast,Volley,SOT,9,43,93,39,-,-,03/10/2025,Boston Bolts U13 MLS Next,05:04
Seacoast,First Time,Shot,10,15,69,38,-,-,03/10/2025,Boston Bolts U13 MLS Next,05:28
Seacoast,1 on 1,Goal,11,1,93,54,-,-,03/10/2025,Boston Bolts U13 MLS Next,06:36
Seacoast,Volley,Shot,11,31,94,59,-,-,03/10/2025,Boston Bolts U13 MLS Next,07:31
Seacoast,Header,Shot,11,50,94,47,-,-,03/10/2025,Boston Bolts U13 MLS Next,10:23
Seacoast,Normal,SOT,12,15,92,74,-,-,03/10/2025,Boston Bolts U13 MLS Next,11:10
Seacoast,Volley,Goal Inside Post,12,46,97,46,-,-,03/10/2025,Boston Bolts U13 MLS Next,22:05
Boston Bolts U13 MLS Next,First Time,Goal,13,20,16,37,-,-,03/10/2025,Boston Bolts U13 MLS Next,28:35
Seacoast,First Time,Shot,13,45,82,33,-,-,03/10/2025,Boston Bolts U13 MLS Next,32:33
Boston Bolts U13 MLS Next,First Time,SOT,14,17,84,54,-,-,03/10/2025,Boston Bolts U13 MLS Next,36:00
Seacoast,Normal,Goal Far Post,15,2,13,65,-,-,03/10/2025,Boston Bolts U13 MLS Next,38:48
Seacoast,Volley,SOT,16,5,11,62,-,-,03/10/2025,Boston Bolts U13 MLS Next,43:35
Seacoast,Normal,Blocked,16,28,25,31,-,-,03/10/2025,Boston Bolts U13 MLS Next,47:54
Boston Bolts U13 MLS Next,Normal,SOT,16,55,88,35,-,-,03/10/2025,Boston Bolts U13 MLS Next,51:36
Seacoast,Normal,Goal Inside Post,17,24,12,43,-,-,03/10/2025,Boston Bolts U13 MLS Next,52:01
Seacoast,First Time,SOT,17,57,4,47,-,-,03/10/2025,Boston Bolts U13 MLS Next,57:28
Boston Bolts U13 MLS Next,First Time,Shot,20,50,88,54,-,-,03/10/2025,Boston Bolts U13 MLS Next,60:13
Seacoast,Normal,Shot,21,18,15,61,-,-,03/10/2025,Boston Bolts U13 MLS Next,62:33
Seacoast,First Time,Shot,21,37,15,49,-,-,03/10/2025,Boston Bolts U13 MLS Next,66:12
